#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Temperature (K), Power (K)
8.0892000000e+09, -2.0168280000e-03, -5.0053770000e-02, -2.6004218881e+01, -1.6110677707e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0892500000e+09, -2.7298180000e-03, -4.9965040000e-02, -2.6013731112e+01, -1.6253766242e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0893000000e+09, -3.5839850000e-03, -4.9548830000e-02, -2.6076668983e+01, -1.6430029583e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0893500000e+09, -4.4114070000e-03, -4.9295560000e-02, -2.6109202961e+01, -1.6600475159e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0894000000e+09, -5.7029750000e-03, -4.9570620000e-02, -2.6038407195e+01, -1.6853402153e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0894500000e+09, -6.6449650000e-03, -4.8894050000e-02, -2.6135396170e+01, -1.7058741337e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0895000000e+09, -7.0114080000e-03, -4.9619920000e-02, -2.6001020427e+01, -1.7111692886e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0895500000e+09, -8.4530010000e-03, -4.9105770000e-02, -2.6050530379e+01, -1.7412643267e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0896000000e+09, -9.4777280000e-03, -4.8911550000e-02, -2.6051689936e+01, -1.7621970871e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0896500000e+09, -1.0354860000e-02, -4.8675990000e-02, -2.6061484929e+01, -1.7804020994e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0897000000e+09, -1.1282370000e-02, -4.8526190000e-02, -2.6051837019e+01, -1.7992384115e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0897500000e+09, -1.2206210000e-02, -4.8546790000e-02, -2.6010566486e+01, -1.8171221739e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0898000000e+09, -1.2841090000e-02, -4.7925660000e-02, -2.6087538519e+01, -1.8325849703e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0898500000e+09, -1.3678870000e-02, -4.7766450000e-02, -2.6075237261e+01, -1.8497019468e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
